counter,date,time,instrument_full,inst_type,underlying,expiry,option_type,strike,qty,price,amount,note
843,2026-03-09,09:20:16,OPTIDX_NIFTY_10MAR2026_CE_24550,OPTIDX,NIFTY,10MAR2026,CE,24550,195,25.65,5001.75,
843,2026-03-09,09:20:20,OPTIDX_NIFTY_10MAR2026_CE_24000,OPTIDX,NIFTY,10MAR2026,CE,24000,-195,137.95,-26900.249999999996,
842,2026-03-09,09:17:11,OPTIDX_NIFTY_10MAR2026_CE_25250,OPTIDX,NIFTY,10MAR2026,CE,25250,-195,5.1,-994.4999999999999,
842,2026-03-06,11:04:12,OPTIDX_NIFTY_10MAR2026_CE_25250,OPTIDX,NIFTY,10MAR2026,CE,25250,195,23.55,4592.25,
842,2026-03-09,09:17:11,OPTIDX_NIFTY_10MAR2026_CE_24750,OPTIDX,NIFTY,10MAR2026,CE,24750,195,14.9,2905.5,
842,2026-03-06,11:04:16,OPTIDX_NIFTY_10MAR2026_CE_24750,OPTIDX,NIFTY,10MAR2026,CE,24750,-195,149.60001,-29172.001949999998,
841,2026-03-06,11:00:14,OPTIDX_NIFTY_10MAR2026_PE_23250,OPTIDX,NIFTY,10MAR2026,PE,23250,-195,13.65,-2661.75,
841,2026-03-05,09:34:11,OPTIDX_NIFTY_10MAR2026_PE_23250,OPTIDX,NIFTY,10MAR2026,PE,23250,195,25.87,5044.650000000001,
841,2026-03-06,11:00:14,OPTIDX_NIFTY_10MAR2026_PE_24350,OPTIDX,NIFTY,10MAR2026,PE,24350,195,125,24375.0,
841,2026-03-05,09:34:14,OPTIDX_NIFTY_10MAR2026_PE_24350,OPTIDX,NIFTY,10MAR2026,PE,24350,-195,157.05,-30624.750000000004,
840,2026-03-05,09:30:08,OPTIDX_NIFTY_10MAR2026_CE_25400,OPTIDX,NIFTY,10MAR2026,CE,25400,-195,19,-3705.0,
840,2026-03-05,09:20:32,OPTIDX_NIFTY_10MAR2026_CE_25400,OPTIDX,NIFTY,10MAR2026,CE,25400,195,23.55,4592.25,
840,2026-03-05,09:30:08,OPTIDX_NIFTY_10MAR2026_CE_24800,OPTIDX,NIFTY,10MAR2026,CE,24800,195,134.35001,26198.251949999998,
840,2026-03-05,09:20:34,OPTIDX_NIFTY_10MAR2026_CE_24800,OPTIDX,NIFTY,10MAR2026,CE,24800,-195,143.75,-28031.25,
839,2026-03-05,09:17:41,OPTIDX_NIFTY_10MAR2026_CE_25400,OPTIDX,NIFTY,10MAR2026,CE,25400,0,26.3,0.0,
